ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1075849176::Physical Name,1073742126::Name,1075848986::Value,1075849458::Default Value,1073742125::Definition
1075839019::38,NULL,Default Value,NULL,NULL,NULL,,
1075839019::39,USER,Default Value,USER,USER,USER,,
1075839019::40,CURRENT_TIMESTAMP,Default Value,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP,,
1075839019::41,CURRENT_USER,Default Value,CURRENT_USER,CURRENT_USER,CURRENT_USER,,
1075839019::42,SESSION_USER,Default Value,SESSION_USER,SESSION_USER,SESSION_USER,,
1075839019::43,SYSTEM_USER,Default Value,SYSTEM_USER,SYSTEM_USER,SYSTEM_USER,,
1075839019::1339,DFT_DateTime_SystemDateTime,Default Value,DF_CurrentSystemTime_AG,DF_CurrentSystemTime_AG,sysdatetime(),,
1075839019::1340,Default_Value_1340,Default Value,DF_BeginningDateTime_AG,DF_BeginningDateTime_AG,19000101 00:00:00',,
1075839019::1344,Default_Value_1344,Default Value,DF_BeginningDate_AG,DF_BeginningDate_AG,19000101',,
1075839019::1345,Default_Value_1345,Default Value,DF_CurrentDate_AG,DF_CurrentDate_AG,"CONVERT (date, SYSDATETIME())",,
1075839019::1346,Default_Value_1346,Default Value,DF_FirstDay_AG,DF_Day_AG,01',,
1075839019::1347,Default_Value_1347,Default Value,DF_FirstMonth_AG,DF_Month_AG,01',,
1075839019::1348,Default_Value_1348,Default Value,DF_FirstYear_AG,DF_Year_AG,1900',,
1075839019::1349,DFT_dDateTime_sdYearMonthDay,Default Value,DF_FirstYearMonthDay_AG,DF_FirstYearMonthDay_AG,19000101',,
1075839019::1371,DFT_dString_sdContactNumber,Default Value,DF_BlankFaxNumber_AG,DF_BlankFaxNumber_AG,(000)-000-0000',,
1075839019::1372,Default_Value_1372,Default Value,DF_BlankPhoneNumber_AG,DF_BlankPhoneNumber_AG,(+1) (000)-000-0000',,
1075839019::1383,Default_Value_1383,Default Value,DF_StreetName_AG,DF_StreetName_AG,Nunya business 1234 Street',,
1075839019::1384,Default_Value_1384,Default Value,DF_StateName_AG,DF_StateName_AG,NA',,
1075839019::1385,Default_Value_1385,Default Value,DF_CountryName_AG,DF_CountryName_AG,N/A',,
1075839019::1386,Default_Value_1386,Default Value,DF_PostalCode_AG,DF_PostalCode_AG,00000-00000',,
1075839019::1387,DFT_dString_sdLocation_udtCity,Default Value,DF_CityName_AG,DF_CityName_AG,N/A',,
1075839019::1388,DFT_dString_sdLocation_udt,Default Value,DF_CityName_AG,DF_CityName_AG,N/A',,